"DATE","TIME PERIOD","Rate for the overnight maturity calculated as the euro short-term rate plus a spread of 8.5 basis points (EON.D.EONIA_TO.RATE)"
"2010-03-23","23 Mar 2010","0.348"
"2010-03-24","24 Mar 2010","0.330"
"2010-03-25","25 Mar 2010","0.343"
"2010-03-26","26 Mar 2010","0.334"
"2010-03-29","29 Mar 2010","0.342"
"2010-03-30","30 Mar 2010","0.348"
"2010-03-31","31 Mar 2010","0.401"
"2010-04-01","01 Apr 2010","0.325"
"2010-04-06","06 Apr 2010","0.319"
"2010-04-07","07 Apr 2010","0.329"
"2010-04-08","08 Apr 2010","0.332"
"2010-04-09","09 Apr 2010","0.325"
"2010-04-12","12 Apr 2010","0.342"
"2010-04-13","13 Apr 2010","0.658"
"2010-04-14","14 Apr 2010","0.337"
"2010-04-15","15 Apr 2010","0.338"
"2010-04-16","16 Apr 2010","0.334"
"2010-04-19","19 Apr 2010","0.339"
"2010-04-20","20 Apr 2010","0.343"
"2010-04-21","21 Apr 2010","0.343"
"2010-04-22","22 Apr 2010","0.339"
"2010-04-23","23 Apr 2010","0.338"
"2010-04-26","26 Apr 2010","0.345"
"2010-04-27","27 Apr 2010","0.346"
"2010-04-28","28 Apr 2010","0.347"
"2010-04-29","29 Apr 2010","0.349"
"2010-04-30","30 Apr 2010","0.337"
"2010-05-03","03 May 2010","0.339"
"2010-05-04","04 May 2010","0.340"
"2010-05-05","05 May 2010","0.344"
"2010-05-06","06 May 2010","0.335"
"2010-05-07","07 May 2010","0.321"
"2010-05-10","10 May 2010","0.341"
"2010-05-11","11 May 2010","0.645"
"2010-05-12","12 May 2010","0.307"
"2010-05-13","13 May 2010","0.307"
"2010-05-14","14 May 2010","0.339"
"2010-05-17","17 May 2010","0.325"
"2010-05-18","18 May 2010","0.327"
"2010-05-19","19 May 2010","0.329"
"2010-05-20","20 May 2010","0.342"
"2010-05-21","21 May 2010","0.303"
"2010-05-24","24 May 2010","0.303"
"2010-05-25","25 May 2010","0.337"
"2010-05-26","26 May 2010","0.339"
"2010-05-27","27 May 2010","0.331"
"2010-05-28","28 May 2010","0.338"
"2010-05-31","31 May 2010","0.330"
"2010-06-01","01 Jun 2010","0.329"
"2010-06-02","02 Jun 2010","0.300"
"2010-06-03","03 Jun 2010","0.295"
"2010-06-04","04 Jun 2010","0.322"
"2010-06-07","07 Jun 2010","0.324"
"2010-06-08","08 Jun 2010","0.318"
"2010-06-09","09 Jun 2010","0.332"
"2010-06-10","10 Jun 2010","0.334"
"2010-06-11","11 Jun 2010","0.326"
"2010-06-14","14 Jun 2010","0.318"
"2010-06-15","15 Jun 2010","0.665"
"2010-06-16","16 Jun 2010","0.341"
"2010-06-17","17 Jun 2010","0.354"
"2010-06-18","18 Jun 2010","0.368"
"2010-06-21","21 Jun 2010","0.347"
"2010-06-22","22 Jun 2010","0.350"
"2010-06-23","23 Jun 2010","0.328"
"2010-06-24","24 Jun 2010","0.329"
"2010-06-25","25 Jun 2010","0.321"
"2010-06-28","28 Jun 2010","0.326"
"2010-06-29","29 Jun 2010","0.325"
"2010-06-30","30 Jun 2010","0.542"
"2010-07-01","01 Jul 2010","0.480"
"2010-07-02","02 Jul 2010","0.437"
"2010-07-05","05 Jul 2010","0.405"
"2010-07-06","06 Jul 2010","0.424"
"2010-07-07","07 Jul 2010","0.414"
"2010-07-08","08 Jul 2010","0.398"
"2010-07-09","09 Jul 2010","0.394"
"2010-07-12","12 Jul 2010","0.393"
"2010-07-13","13 Jul 2010","0.750"
"2010-07-14","14 Jul 2010","0.444"
"2010-07-15","15 Jul 2010","0.488"
"2010-07-16","16 Jul 2010","0.556"
"2010-07-19","19 Jul 2010","0.555"
"2010-07-20","20 Jul 2010","0.554"
"2010-07-21","21 Jul 2010","0.528"
"2010-07-22","22 Jul 2010","0.524"
"2010-07-23","23 Jul 2010","0.500"
"2010-07-26","26 Jul 2010","0.497"
"2010-07-27","27 Jul 2010","0.490"
"2010-07-28","28 Jul 2010","0.478"
"2010-07-29","29 Jul 2010","0.453"
"2010-07-30","30 Jul 2010","0.423"
"2010-08-02","02 Aug 2010","0.399"
"2010-08-03","03 Aug 2010","0.377"
"2010-08-04","04 Aug 2010","0.365"
"2010-08-05","05 Aug 2010","0.363"
"2010-08-06","06 Aug 2010","0.349"
"2010-08-09","09 Aug 2010","0.344"
"2010-08-10","10 Aug 2010","0.769"
"2010-08-11","11 Aug 2010","0.477"
"2010-08-12","12 Aug 2010","0.464"
"2010-08-13","13 Aug 2010","0.449"
"2010-08-16","16 Aug 2010","0.448"
"2010-08-17","17 Aug 2010","0.443"
"2010-08-18","18 Aug 2010","0.440"
"2010-08-19","19 Aug 2010","0.430"
"2010-08-20","20 Aug 2010","0.428"
"2010-08-23","23 Aug 2010","0.423"
"2010-08-24","24 Aug 2010","0.410"
"2010-08-25","25 Aug 2010","0.411"
"2010-08-26","26 Aug 2010","0.408"
"2010-08-27","27 Aug 2010","0.390"
"2010-08-30","30 Aug 2010","0.384"
"2010-08-31","31 Aug 2010","0.392"
"2010-09-01","01 Sep 2010","0.370"
"2010-09-02","02 Sep 2010","0.364"
"2010-09-03","03 Sep 2010","0.360"
"2010-09-06","06 Sep 2010","0.377"
"2010-09-07","07 Sep 2010","0.695"
"2010-09-08","08 Sep 2010","0.423"
"2010-09-09","09 Sep 2010","0.419"
"2010-09-10","10 Sep 2010","0.415"
"2010-09-13","13 Sep 2010","0.422"
"2010-09-14","14 Sep 2010","0.438"
"2010-09-15","15 Sep 2010","0.455"
"2010-09-16","16 Sep 2010","0.455"
"2010-09-17","17 Sep 2010","0.448"
"2010-09-20","20 Sep 2010","0.446"
"2010-09-21","21 Sep 2010","0.440"
"2010-09-22","22 Sep 2010","0.438"
"2010-09-23","23 Sep 2010","0.439"
"2010-09-24","24 Sep 2010","0.434"
"2010-09-27","27 Sep 2010","0.430"
"2010-09-28","28 Sep 2010","0.425"
"2010-09-29","29 Sep 2010","0.408"
"2010-09-30","30 Sep 2010","0.878"
"2010-10-01","01 Oct 2010","0.721"
"2010-10-04","04 Oct 2010","0.670"
"2010-10-05","05 Oct 2010","0.516"
"2010-10-06","06 Oct 2010","0.438"
"2010-10-07","07 Oct 2010","0.402"
"2010-10-08","08 Oct 2010","0.396"
"2010-10-11","11 Oct 2010","0.390"
"2010-10-12","12 Oct 2010","0.762"
"2010-10-13","13 Oct 2010","0.726"
"2010-10-14","14 Oct 2010","0.742"
"2010-10-15","15 Oct 2010","0.745"
"2010-10-18","18 Oct 2010","0.778"
"2010-10-19","19 Oct 2010","0.810"
"2010-10-20","20 Oct 2010","0.843"
"2010-10-21","21 Oct 2010","0.862"
"2010-10-22","22 Oct 2010","0.849"
"2010-10-25","25 Oct 2010","0.859"
"2010-10-26","26 Oct 2010","0.860"
"2010-10-27","27 Oct 2010","0.849"
"2010-10-28","28 Oct 2010","0.785"
"2010-10-29","29 Oct 2010","0.724"
"2010-11-01","01 Nov 2010","0.683"
"2010-11-02","02 Nov 2010","0.664"
"2010-11-03","03 Nov 2010","0.579"
"2010-11-04","04 Nov 2010","0.456"
"2010-11-05","05 Nov 2010","0.365"
"2010-11-08","08 Nov 2010","0.371"
"2010-11-09","09 Nov 2010","0.729"
"2010-11-10","10 Nov 2010","0.805"
"2010-11-11","11 Nov 2010","0.798"
"2010-11-12","12 Nov 2010","0.791"
"2010-11-15","15 Nov 2010","0.764"
"2010-11-16","16 Nov 2010","0.745"
"2010-11-17","17 Nov 2010","0.707"
"2010-11-18","18 Nov 2010","0.632"
"2010-11-19","19 Nov 2010","0.545"
"2010-11-22","22 Nov 2010","0.521"
"2010-11-23","23 Nov 2010","0.514"
"2010-11-24","24 Nov 2010","0.482"
"2010-11-25","25 Nov 2010","0.474"
"2010-11-26","26 Nov 2010","0.446"
"2010-11-29","29 Nov 2010","0.428"
"2010-11-30","30 Nov 2010","0.539"
"2010-12-01","01 Dec 2010","0.468"
"2010-12-02","02 Dec 2010","0.462"
"2010-12-03","03 Dec 2010","0.414"
"2010-12-06","06 Dec 2010","0.386"
"2010-12-07","07 Dec 2010","0.738"
"2010-12-08","08 Dec 2010","0.721"
"2010-12-09","09 Dec 2010","0.646"
"2010-12-10","10 Dec 2010","0.627"
"2010-12-13","13 Dec 2010","0.588"
"2010-12-14","14 Dec 2010","0.566"
"2010-12-15","15 Dec 2010","0.508"
"2010-12-16","16 Dec 2010","0.453"
"2010-12-17","17 Dec 2010","0.432"
"2010-12-20","20 Dec 2010","0.398"
"2010-12-21","21 Dec 2010","0.391"
"2010-12-22","22 Dec 2010","0.379"
"2010-12-23","23 Dec 2010","0.356"
"2010-12-24","24 Dec 2010","0.396"
"2010-12-27","27 Dec 2010","0.441"
"2010-12-28","28 Dec 2010","0.447"
"2010-12-29","29 Dec 2010","0.430"
"2010-12-30","30 Dec 2010","0.393"
"2010-12-31","31 Dec 2010","0.817"
"2011-01-03","03 Jan 2011","0.421"
"2011-01-04","04 Jan 2011","0.422"
"2011-01-05","05 Jan 2011","0.397"
"2011-01-06","06 Jan 2011","0.379"
"2011-01-07","07 Jan 2011","0.380"
"2011-01-10","10 Jan 2011","0.389"
"2011-01-11","11 Jan 2011","0.376"
"2011-01-12","12 Jan 2011","0.376"
"2011-01-13","13 Jan 2011","0.375"
"2011-01-14","14 Jan 2011","0.361"
"2011-01-17","17 Jan 2011","0.367"
"2011-01-18","18 Jan 2011","0.814"
"2011-01-19","19 Jan 2011","0.705"
"2011-01-20","20 Jan 2011","0.713"
"2011-01-21","21 Jan 2011","0.824"
"2011-01-24","24 Jan 2011","0.916"
"2011-01-25","25 Jan 2011","1.035"
"2011-01-26","26 Jan 2011","1.172"
"2011-01-27","27 Jan 2011","1.063"
"2011-01-28","28 Jan 2011","1.040"
"2011-01-31","31 Jan 2011","1.313"
"2011-02-01","01 Feb 2011","1.318"
"2011-02-02","02 Feb 2011","0.792"
"2011-02-03","03 Feb 2011","0.526"
"2011-02-04","04 Feb 2011","0.365"
"2011-02-07","07 Feb 2011","0.347"
"2011-02-08","08 Feb 2011","0.677"
"2011-02-09","09 Feb 2011","1.093"
"2011-02-10","10 Feb 2011","1.023"
"2011-02-11","11 Feb 2011","0.924"
"2011-02-14","14 Feb 2011","0.827"
"2011-02-15","15 Feb 2011","0.749"
"2011-02-16","16 Feb 2011","0.700"
"2011-02-17","17 Feb 2011","0.625"
"2011-02-18","18 Feb 2011","0.504"
"2011-02-21","21 Feb 2011","0.497"
"2011-02-22","22 Feb 2011","0.531"
"2011-02-23","23 Feb 2011","0.661"
"2011-02-24","24 Feb 2011","0.666"
"2011-02-25","25 Feb 2011","0.628"
"2011-02-28","28 Feb 2011","0.689"
"2011-03-01","01 Mar 2011","0.602"
"2011-03-02","02 Mar 2011","0.472"
"2011-03-03","03 Mar 2011","0.376"
"2011-03-04","04 Mar 2011","0.381"
"2011-03-07","07 Mar 2011","0.447"
"2011-03-08","08 Mar 2011","0.807"
"2011-03-09","09 Mar 2011","0.840"
"2011-03-10","10 Mar 2011","0.799"
"2011-03-11","11 Mar 2011","0.747"
"2011-03-14","14 Mar 2011","0.730"
"2011-03-15","15 Mar 2011","0.718"
"2011-03-16","16 Mar 2011","0.706"
"2011-03-17","17 Mar 2011","0.700"
"2011-03-18","18 Mar 2011","0.710"
"2011-03-21","21 Mar 2011","0.695"
"2011-03-22","22 Mar 2011","0.692"
"2011-03-23","23 Mar 2011","0.695"
"2011-03-24","24 Mar 2011","0.672"
"2011-03-25","25 Mar 2011","0.635"
"2011-03-28","28 Mar 2011","0.622"
"2011-03-29","29 Mar 2011","0.612"
"2011-03-30","30 Mar 2011","0.590"
"2011-03-31","31 Mar 2011","0.902"
"2011-04-01","01 Apr 2011","0.588"
"2011-04-04","04 Apr 2011","0.580"
"2011-04-05","05 Apr 2011","0.583"
"2011-04-06","06 Apr 2011","0.559"
"2011-04-07","07 Apr 2011","0.554"
"2011-04-08","08 Apr 2011","0.540"
"2011-04-11","11 Apr 2011","0.531"
"2011-04-12","12 Apr 2011","0.802"
"2011-04-13","13 Apr 2011","1.139"
"2011-04-14","14 Apr 2011","1.146"
"2011-04-15","15 Apr 2011","1.140"
"2011-04-18","18 Apr 2011","1.129"
"2011-04-19","19 Apr 2011","1.131"
"2011-04-20","20 Apr 2011","1.215"
"2011-04-21","21 Apr 2011","1.434"
"2011-04-26","26 Apr 2011","1.297"
"2011-04-27","27 Apr 2011","1.286"
"2011-04-28","28 Apr 2011","1.282"
"2011-04-29","29 Apr 2011","1.420"
"2011-05-02","02 May 2011","1.289"
"2011-05-03","03 May 2011","1.260"
"2011-05-04","04 May 2011","1.045"
"2011-05-05","05 May 2011","0.854"
"2011-05-06","06 May 2011","0.590"
"2011-05-09","09 May 2011","0.595"
"2011-05-10","10 May 2011","0.927"
"2011-05-11","11 May 2011","1.051"
"2011-05-12","12 May 2011","1.061"
"2011-05-13","13 May 2011","1.110"
"2011-05-16","16 May 2011","1.129"
"2011-05-17","17 May 2011","1.133"
"2011-05-18","18 May 2011","1.152"
"2011-05-19","19 May 2011","1.161"
"2011-05-20","20 May 2011","1.158"
"2011-05-23","23 May 2011","1.160"
"2011-05-24","24 May 2011","1.138"
"2011-05-25","25 May 2011","1.125"
"2011-05-26","26 May 2011","1.075"
"2011-05-27","27 May 2011","0.921"
"2011-05-30","30 May 2011","0.847"
"2011-05-31","31 May 2011","0.953"
"2011-06-01","01 Jun 2011","0.849"
"2011-06-02","02 Jun 2011","0.876"
"2011-06-03","03 Jun 2011","0.886"
"2011-06-06","06 Jun 2011","0.880"
"2011-06-07","07 Jun 2011","0.898"
"2011-06-08","08 Jun 2011","1.065"
"2011-06-09","09 Jun 2011","1.296"
"2011-06-10","10 Jun 2011","1.549"
"2011-06-13","13 Jun 2011","1.404"
"2011-06-14","14 Jun 2011","1.185"
"2011-06-15","15 Jun 2011","1.269"
"2011-06-16","16 Jun 2011","1.303"
"2011-06-17","17 Jun 2011","1.338"
"2011-06-20","20 Jun 2011","1.336"
"2011-06-21","21 Jun 2011","1.307"
"2011-06-22","22 Jun 2011","1.091"
"2011-06-23","23 Jun 2011","0.946"
"2011-06-24","24 Jun 2011","0.858"
"2011-06-27","27 Jun 2011","0.846"
"2011-06-28","28 Jun 2011","0.839"
"2011-06-29","29 Jun 2011","0.993"
"2011-06-30","30 Jun 2011","1.715"
"2011-07-01","01 Jul 2011","0.909"
"2011-07-04","04 Jul 2011","0.815"
"2011-07-05","05 Jul 2011","0.707"
"2011-07-06","06 Jul 2011","0.598"
"2011-07-07","07 Jul 2011","0.596"
"2011-07-08","08 Jul 2011","0.592"
"2011-07-11","11 Jul 2011","0.600"
"2011-07-12","12 Jul 2011","1.016"
"2011-07-13","13 Jul 2011","1.476"
"2011-07-14","14 Jul 2011","1.461"
"2011-07-15","15 Jul 2011","1.484"
"2011-07-18","18 Jul 2011","1.489"
"2011-07-19","19 Jul 2011","1.467"
"2011-07-20","20 Jul 2011","1.200"
"2011-07-21","21 Jul 2011","1.078"
"2011-07-22","22 Jul 2011","0.970"
"2011-07-25","25 Jul 2011","0.975"
"2011-07-26","26 Jul 2011","0.991"
"2011-07-27","27 Jul 2011","0.953"
"2011-07-28","28 Jul 2011","0.899"
"2011-07-29","29 Jul 2011","0.972"
"2011-08-01","01 Aug 2011","0.912"
"2011-08-02","02 Aug 2011","0.941"
"2011-08-03","03 Aug 2011","0.858"
"2011-08-04","04 Aug 2011","0.851"
"2011-08-05","05 Aug 2011","0.846"
"2011-08-08","08 Aug 2011","0.860"
"2011-08-09","09 Aug 2011","1.211"
"2011-08-10","10 Aug 2011","1.006"
"2011-08-11","11 Aug 2011","0.903"
"2011-08-12","12 Aug 2011","0.880"
"2011-08-15","15 Aug 2011","0.874"
"2011-08-16","16 Aug 2011","0.885"
"2011-08-17","17 Aug 2011","0.876"
"2011-08-18","18 Aug 2011","0.883"
"2011-08-19","19 Aug 2011","0.890"
"2011-08-22","22 Aug 2011","0.908"
"2011-08-23","23 Aug 2011","0.900"
"2011-08-24","24 Aug 2011","0.896"
"2011-08-25","25 Aug 2011","0.890"
"2011-08-26","26 Aug 2011","0.874"
"2011-08-29","29 Aug 2011","0.869"
"2011-08-30","30 Aug 2011","0.865"
"2011-08-31","31 Aug 2011","0.955"
"2011-09-01","01 Sep 2011","0.884"
"2011-09-02","02 Sep 2011","0.868"
"2011-09-05","05 Sep 2011","0.873"
"2011-09-06","06 Sep 2011","0.871"
"2011-09-07","07 Sep 2011","0.870"
"2011-09-08","08 Sep 2011","0.863"
"2011-09-09","09 Sep 2011","0.850"
"2011-09-12","12 Sep 2011","0.857"
"2011-09-13","13 Sep 2011","1.214"
"2011-09-14","14 Sep 2011","0.930"
"2011-09-15","15 Sep 2011","0.952"
"2011-09-16","16 Sep 2011","1.112"
"2011-09-19","19 Sep 2011","1.041"
"2011-09-20","20 Sep 2011","1.061"
"2011-09-21","21 Sep 2011","1.061"
"2011-09-22","22 Sep 2011","1.040"
"2011-09-23","23 Sep 2011","1.055"
"2011-09-26","26 Sep 2011","1.058"
"2011-09-27","27 Sep 2011","1.071"
"2011-09-28","28 Sep 2011","1.069"
"2011-09-29","29 Sep 2011","1.057"
"2011-09-30","30 Sep 2011","1.463"
"2011-10-03","03 Oct 2011","1.071"
"2011-10-04","04 Oct 2011","0.997"
"2011-10-05","05 Oct 2011","0.970"
"2011-10-06","06 Oct 2011","0.947"
"2011-10-07","07 Oct 2011","0.919"
"2011-10-10","10 Oct 2011","0.892"
"2011-10-11","11 Oct 2011","1.220"
"2011-10-12","12 Oct 2011","0.986"
"2011-10-13","13 Oct 2011","0.958"
"2011-10-14","14 Oct 2011","0.930"
"2011-10-17","17 Oct 2011","0.928"
"2011-10-18","18 Oct 2011","0.924"
"2011-10-19","19 Oct 2011","0.949"
"2011-10-20","20 Oct 2011","0.932"
"2011-10-21","21 Oct 2011","0.937"
"2011-10-24","24 Oct 2011","0.934"
"2011-10-25","25 Oct 2011","0.932"
"2011-10-26","26 Oct 2011","0.946"
"2011-10-27","27 Oct 2011","0.923"
"2011-10-28","28 Oct 2011","0.919"
"2011-10-31","31 Oct 2011","0.937"
"2011-11-01","01 Nov 2011","0.872"
"2011-11-02","02 Nov 2011","0.899"
"2011-11-03","03 Nov 2011","0.909"
"2011-11-04","04 Nov 2011","0.892"
"2011-11-07","07 Nov 2011","0.885"
"2011-11-08","08 Nov 2011","1.219"
"2011-11-09","09 Nov 2011","0.769"
"2011-11-10","10 Nov 2011","0.736"
"2011-11-11","11 Nov 2011","0.733"
"2011-11-14","14 Nov 2011","0.738"
"2011-11-15","15 Nov 2011","0.733"
"2011-11-16","16 Nov 2011","0.728"
"2011-11-17","17 Nov 2011","0.709"
"2011-11-18","18 Nov 2011","0.722"
"2011-11-21","21 Nov 2011","0.705"
"2011-11-22","22 Nov 2011","0.724"
"2011-11-23","23 Nov 2011","0.722"
"2011-11-24","24 Nov 2011","0.719"
"2011-11-25","25 Nov 2011","0.730"
"2011-11-28","28 Nov 2011","0.713"
"2011-11-29","29 Nov 2011","0.718"
"2011-11-30","30 Nov 2011","0.805"
"2011-12-01","01 Dec 2011","0.736"
"2011-12-02","02 Dec 2011","0.725"
"2011-12-05","05 Dec 2011","0.733"
"2011-12-06","06 Dec 2011","0.755"
"2011-12-07","07 Dec 2011","0.747"
"2011-12-08","08 Dec 2011","0.727"
"2011-12-09","09 Dec 2011","0.735"
"2011-12-12","12 Dec 2011","0.696"
"2011-12-13","13 Dec 2011","1.018"
"2011-12-14","14 Dec 2011","0.579"
"2011-12-15","15 Dec 2011","0.571"
"2011-12-16","16 Dec 2011","0.569"
"2011-12-19","19 Dec 2011","0.583"
"2011-12-20","20 Dec 2011","0.605"
"2011-12-21","21 Dec 2011","0.611"
"2011-12-22","22 Dec 2011","0.509"
"2011-12-23","23 Dec 2011","0.422"
"2011-12-27","27 Dec 2011","0.417"
"2011-12-28","28 Dec 2011","0.402"
"2011-12-29","29 Dec 2011","0.399"
"2011-12-30","30 Dec 2011","0.629"
"2012-01-02","02 Jan 2012","0.390"
"2012-01-03","03 Jan 2012","0.396"
"2012-01-04","04 Jan 2012","0.395"
"2012-01-05","05 Jan 2012","0.369"
"2012-01-06","06 Jan 2012","0.357"
"2012-01-09","09 Jan 2012","0.372"
"2012-01-10","10 Jan 2012","0.371"
"2012-01-11","11 Jan 2012","0.375"
"2012-01-12","12 Jan 2012","0.378"
"2012-01-13","13 Jan 2012","0.385"
"2012-01-16","16 Jan 2012","0.386"
"2012-01-17","17 Jan 2012","0.379"
"2012-01-18","18 Jan 2012","0.391"
"2012-01-19","19 Jan 2012","0.374"
"2012-01-20","20 Jan 2012","0.394"
"2012-01-23","23 Jan 2012","0.371"
"2012-01-24","24 Jan 2012","0.378"
"2012-01-25","25 Jan 2012","0.379"
"2012-01-26","26 Jan 2012","0.377"
"2012-01-27","27 Jan 2012","0.379"
"2012-01-30","30 Jan 2012","0.385"
"2012-01-31","31 Jan 2012","0.380"
"2012-02-01","01 Feb 2012","0.363"
"2012-02-02","02 Feb 2012","0.366"
"2012-02-03","03 Feb 2012","0.377"
"2012-02-06","06 Feb 2012","0.366"
"2012-02-07","07 Feb 2012","0.367"
"2012-02-08","08 Feb 2012","0.362"
"2012-02-09","09 Feb 2012","0.367"
"2012-02-10","10 Feb 2012","0.362"
"2012-02-13","13 Feb 2012","0.364"
"2012-02-14","14 Feb 2012","0.371"
"2012-02-15","15 Feb 2012","0.371"
"2012-02-16","16 Feb 2012","0.371"
"2012-02-17","17 Feb 2012","0.364"
"2012-02-20","20 Feb 2012","0.360"
"2012-02-21","21 Feb 2012","0.362"
"2012-02-22","22 Feb 2012","0.359"
"2012-02-23","23 Feb 2012","0.364"
"2012-02-24","24 Feb 2012","0.368"
"2012-02-27","27 Feb 2012","0.360"
"2012-02-28","28 Feb 2012","0.360"
"2012-02-29","29 Feb 2012","0.374"
"2012-03-01","01 Mar 2012","0.370"
"2012-03-02","02 Mar 2012","0.360"
"2012-03-05","05 Mar 2012","0.351"
"2012-03-06","06 Mar 2012","0.342"
"2012-03-07","07 Mar 2012","0.355"
"2012-03-08","08 Mar 2012","0.359"
"2012-03-09","09 Mar 2012","0.362"
"2012-03-12","12 Mar 2012","0.355"
"2012-03-13","13 Mar 2012","0.355"
"2012-03-14","14 Mar 2012","0.363"
"2012-03-15","15 Mar 2012","0.356"
"2012-03-16","16 Mar 2012","0.361"
"2012-03-19","19 Mar 2012","0.359"
"2012-03-20","20 Mar 2012","0.350"
"2012-03-21","21 Mar 2012","0.348"
"2012-03-22","22 Mar 2012","0.352"
"2012-03-23","23 Mar 2012","0.359"
"2012-03-26","26 Mar 2012","0.349"
"2012-03-27","27 Mar 2012","0.353"
"2012-03-28","28 Mar 2012","0.352"
"2012-03-29","29 Mar 2012","0.349"
"2012-03-30","30 Mar 2012","0.388"
"2012-04-02","02 Apr 2012","0.347"
"2012-04-03","03 Apr 2012","0.343"
"2012-04-04","04 Apr 2012","0.353"
"2012-04-05","05 Apr 2012","0.352"
"2012-04-10","10 Apr 2012","0.347"
"2012-04-11","11 Apr 2012","0.350"
"2012-04-12","12 Apr 2012","0.341"
"2012-04-13","13 Apr 2012","0.346"
"2012-04-16","16 Apr 2012","0.346"
"2012-04-17","17 Apr 2012","0.349"
"2012-04-18","18 Apr 2012","0.346"
"2012-04-19","19 Apr 2012","0.347"
"2012-04-20","20 Apr 2012","0.344"
"2012-04-23","23 Apr 2012","0.338"
"2012-04-24","24 Apr 2012","0.338"
"2012-04-25","25 Apr 2012","0.337"
"2012-04-26","26 Apr 2012","0.343"
"2012-04-27","27 Apr 2012","0.346"
"2012-04-30","30 Apr 2012","0.344"
"2012-05-02","02 May 2012","0.343"
"2012-05-03","03 May 2012","0.343"
"2012-05-04","04 May 2012","0.343"
"2012-05-07","07 May 2012","0.348"
"2012-05-08","08 May 2012","0.346"
"2012-05-09","09 May 2012","0.344"
"2012-05-10","10 May 2012","0.348"
"2012-05-11","11 May 2012","0.341"
"2012-05-14","14 May 2012","0.346"
"2012-05-15","15 May 2012","0.340"
"2012-05-16","16 May 2012","0.330"
"2012-05-17","17 May 2012","0.320"
"2012-05-18","18 May 2012","0.337"
"2012-05-21","21 May 2012","0.337"
"2012-05-22","22 May 2012","0.336"
"2012-05-23","23 May 2012","0.335"
"2012-05-24","24 May 2012","0.335"
"2012-05-25","25 May 2012","0.323"
"2012-05-28","28 May 2012","0.322"
"2012-05-29","29 May 2012","0.335"
"2012-05-30","30 May 2012","0.333"
"2012-05-31","31 May 2012","0.329"
"2012-06-01","01 Jun 2012","0.337"
"2012-06-04","04 Jun 2012","0.332"
"2012-06-05","05 Jun 2012","0.335"
"2012-06-06","06 Jun 2012","0.310"
"2012-06-07","07 Jun 2012","0.312"
"2012-06-08","08 Jun 2012","0.331"
"2012-06-11","11 Jun 2012","0.336"
"2012-06-12","12 Jun 2012","0.336"
"2012-06-13","13 Jun 2012","0.335"
"2012-06-14","14 Jun 2012","0.331"
"2012-06-15","15 Jun 2012","0.329"
"2012-06-18","18 Jun 2012","0.334"
"2012-06-19","19 Jun 2012","0.333"
"2012-06-20","20 Jun 2012","0.326"
"2012-06-21","21 Jun 2012","0.329"
"2012-06-22","22 Jun 2012","0.325"
"2012-06-25","25 Jun 2012","0.328"
"2012-06-26","26 Jun 2012","0.330"
"2012-06-27","27 Jun 2012","0.331"
"2012-06-28","28 Jun 2012","0.331"
"2012-06-29","29 Jun 2012","0.382"
"2012-07-02","02 Jul 2012","0.329"
"2012-07-03","03 Jul 2012","0.332"
"2012-07-04","04 Jul 2012","0.332"
"2012-07-05","05 Jul 2012","0.331"
"2012-07-06","06 Jul 2012","0.329"
"2012-07-09","09 Jul 2012","0.325"
"2012-07-10","10 Jul 2012","0.323"
"2012-07-11","11 Jul 2012","0.131"
"2012-07-12","12 Jul 2012","0.128"
"2012-07-13","13 Jul 2012","0.117"
"2012-07-16","16 Jul 2012","0.114"
"2012-07-17","17 Jul 2012","0.119"
"2012-07-18","18 Jul 2012","0.119"
"2012-07-19","19 Jul 2012","0.120"
"2012-07-20","20 Jul 2012","0.115"
"2012-07-23","23 Jul 2012","0.116"
"2012-07-24","24 Jul 2012","0.113"
"2012-07-25","25 Jul 2012","0.114"
"2012-07-26","26 Jul 2012","0.112"
"2012-07-27","27 Jul 2012","0.111"
"2012-07-30","30 Jul 2012","0.112"
"2012-07-31","31 Jul 2012","0.111"
"2012-08-01","01 Aug 2012","0.112"
"2012-08-02","02 Aug 2012","0.109"
"2012-08-03","03 Aug 2012","0.111"
"2012-08-06","06 Aug 2012","0.109"
"2012-08-07","07 Aug 2012","0.111"
"2012-08-08","08 Aug 2012","0.116"
"2012-08-09","09 Aug 2012","0.123"
"2012-08-10","10 Aug 2012","0.115"
"2012-08-13","13 Aug 2012","0.112"
"2012-08-14","14 Aug 2012","0.110"
"2012-08-15","15 Aug 2012","0.112"
"2012-08-16","16 Aug 2012","0.111"
"2012-08-17","17 Aug 2012","0.112"
"2012-08-20","20 Aug 2012","0.109"
"2012-08-21","21 Aug 2012","0.103"
"2012-08-22","22 Aug 2012","0.103"
"2012-08-23","23 Aug 2012","0.108"
"2012-08-24","24 Aug 2012","0.107"
"2012-08-27","27 Aug 2012","0.110"
"2012-08-28","28 Aug 2012","0.111"
"2012-08-29","29 Aug 2012","0.102"
"2012-08-30","30 Aug 2012","0.106"
"2012-08-31","31 Aug 2012","0.110"
"2012-09-03","03 Sep 2012","0.108"
"2012-09-04","04 Sep 2012","0.102"
"2012-09-05","05 Sep 2012","0.107"
"2012-09-06","06 Sep 2012","0.108"
"2012-09-07","07 Sep 2012","0.105"
"2012-09-10","10 Sep 2012","0.101"
"2012-09-11","11 Sep 2012","0.100"
"2012-09-12","12 Sep 2012","0.101"
